RelatÃ³rio de Desempenho do Servidor
===========================================================
Timestamp, CPU Usage (%), Memory Usage (KB)
2025-02-17 13:21:56, 2.77778, 15881320
2025-02-17 13:21:57, 2.26131, 15883000
2025-02-17 13:21:58, 3.23383, 15884176
2025-02-17 13:21:59, 1.25628, 15885016
2025-02-17 13:22:00, 3.77834, 15885268
2025-02-17 13:22:01, 1.99501, 15885268
2025-02-17 13:22:02, 7.28643, 15904072
2025-02-17 13:22:03, 6.76692, 15881952
2025-02-17 13:22:04, 2.00501, 15882024
2025-02-17 13:22:05, 5.98504, 15907476
2025-02-17 13:22:06, 1.00756, 15907476
2025-02-17 13:22:07, 5.02513, 15901156
2025-02-17 13:22:08, 3.27456, 15905016
2025-02-17 13:22:09, 1.24688, 15905520
2025-02-17 13:22:10, 4.47761, 15905772
2025-02-17 13:22:11, 1.50754, 15905772
2025-02-17 13:22:12, 2.51889, 15931668
2025-02-17 13:22:13, 8.56423, 15913908
2025-02-17 13:22:14, 1.76322, 15914916
2025-02-17 13:22:15, 3.01508, 15914916
2025-02-17 13:22:16, 2.267, 15896644
2025-02-17 13:22:17, 1.49626, 15897148
2025-02-17 13:22:18, 9.45274, 15893288€ÌG}ÿ
2025-02-17 13:22:19, 0.997506, 15893540
2025-02-17 13:22:20, 3.78788, 15895300
2025-02-17 13:22:21, 1.99501, 15895300
2025-02-17 13:22:22, 1.25945, 15896560
2025-02-17 13:22:23, 8.0402, 15887924
2025-02-17 13:22:24, 4.75, 15889436
2025-02-17 13:22:25, 2.75689, 15889436
2025-02-17 13:22:26, 2.51256, 15889940
2025-02-17 13:22:27, 0.251889, 15890192
2025-02-17 13:22:28, 2.25, 15891452
2025-02-17 13:22:29, 5.77889, 15925728
2025-02-17 13:22:30, 4.01003, 15905844
2025-02-17 13:22:31, 1.99501, 15906432
2025-02-17 13:22:32, 1.50376, 15906432
2025-02-17 13:22:33, 4.3038, 15890524
2025-02-17 13:22:34, 8.08081, 15916880
2025-02-17 13:22:35, 3.25, 15917048
2025-02-17 13:22:36, 2.75689, 15917552
2025-02-17 13:22:37, 3.25815, 15917552
2025-02-17 13:22:38, 2.01005, 15917552
2025-02-17 13:22:39, 3.50877, 15932348
2025-02-17 13:22:40, 5.51378, 15912872
2025-02-17 13:22:41, 8.45771, 15898916
2025-02-17 13:22:42, 1.75439, 15900172
2025-02-17 13:22:43, 5.25, 15893588
2025-02-17 13:22:44, 3.25815, 15898308
2025-02-17 13:22:45, €ÌG}ÿ4.03023, 15915936
2025-02-17 13:22:46, 4.29293, 15916888
2025-02-17 13:22:47, 0.251256, 15917140
2025-02-17 13:22:48, 2.98507, 15897900
2025-02-17 13:22:49, 2.50627, 15899160
2025-02-17 13:22:50, 3.28283, 15934920
2025-02-17 13:22:51, 4.82234, 15934920
